DATE,HOSMEDUSM052N
2022-10-01,378800.0
2022-11-01,372700.0
2022-12-01,366500.0
2023-01-01,361200.0
2023-02-01,363600.0
2023-03-01,375400.0
2023-04-01,385900.0
2023-05-01,396400.0
2023-06-01,410000.0
2023-07-01,405700.0
2023-08-01,404100.0
2023-09-01,392800.0
2023-10-01,391800.0
